country_name_short,cabinet_name,share_seats,weighted_lr,weighted_sm,weighted_la,incidence_w1,incidence_w2,incidence_w3,wave1_stringency,wave2_stringency,wave3_stringency,ICU,debt_share_on_gdp
BEL,Wilmes II,25.3333333333333,6.49759473684211,6.86646315789474,5.00024210526316,2.895009375,2.45483888888889,2.30129542857143,73.8513541666667,57.2085620915033,60.4542771084337,56.5,103
BGR,Borisov III,50.8333333333333,7.70983606557377,6.28934426229508,7.33196721311475,0.265302830188679,2.32390321428571,3.78992420382166,50.7516352201258,45.662,52.9476923076923,59.5,24
HRV,Plenkovic II,46.3576158940397,6.42860285714286,5.81457,6.26439142857143,0.0140022388059701,0.329228272251309,0.263982196969697,66.4400746268657,41.0217277486911,47.367131147541,39.9,78
CYP,Anastasiades IV,32.1428571428572,8.6842,7.3684,5,0.193937719298246,0.842180792682927,1.47918155737705,68.3321052631579,67.6479268292683,70.4030088495575,34.1,96
CZE,Babis II,46.5,5.52359677419355,6.10372580645161,3.70424193548387,0.180943032786885,2.04417827586207,4.68380049751244,56.0463114754098,49.1921379310345,68.6768983957219,42.5,35
DNK,Frederiksen,26.8156424581006,3.8011,3.5292,4.2722,0.0937259398496241,0.457722009569378,0.310430769230769,64.0362406015038,53.0403349282297,60.9807438016529,24.6,35
EST,Ratas II,56.4356435643564,5.12032280701754,5.01419122807018,5.87941052631579,0.254689252336449,0.77129475308642,1.79117147887324,58.3590654205608,41.418024691358,49.8354263565892,36.7,9
FRA,Philippe II,80.5892547660312,6.35802516129032,6.61301462365591,4.63930086021505,2.28039684684685,1.69082118644068,2.87058292079208,78.0424324324324,57.7329661016949,64.8923316062176,42.8,97
DEU,Merkel V,56.2764456981664,5.25131353383459,5.38904436090226,5.80048646616541,0.810260454545455,2.13435326797386,2.02889356060606,66.1688181818182,68.6192156862745,75.0292,62.1,64
GRC,Mitsotakis Kyr,52.6666666666667,6.7365,6.9754,6.6712,0.00707518518518519,0.148739595375723,0.220351315789474,65.5565925925926,67.1993063583815,78.6768148148148,34.6,182
HUN,Orban IV,66.8341708542714,6.64627368421053,3.77536315789474,7.62404135338346,0.0213872413793103,0.376251910828026,0.609511258278146,63.1225517241379,57.9484713375796,72.5759090909091,42.9,74
IRL,Varadkar II,21.875,6.4372,6.1603,5.787,0.941604891304348,0.686418085106383,0.96713475,81.1186956521739,75.9050470219436,80.8434715025907,24,69
ITA,Conte II,56.031746031746,3.45557847025496,3.57405099150142,3.35569858356941,1.73433640776699,2.08037884615385,2.0409015625,78.4001941747573,72.2746153846154,78.643025210084,27.5,132
LTU,Skvernelis III,58.1560283687943,3.52919268292683,3.81823414634146,5.78376097560976,0.0127435294117647,0.301076344086022,0.177208984375,73.8028235294118,53.3217204301075,53.084958677686,63.4,40
LUX,Bettel II,51.6666666666667,4.3336064516129,4.58402903225807,1.72328709677419,1.37404719101124,1.4385002293578,1.72711920529801,66.4789887640449,47.7447247706422,50.5191034482759,41.1,23
MLT,Abela,55.2238805970149,4.2105,5.1128,6.3158,0.0105077319587629,0.134959931506849,0.137808994708995,76.9953608247423,46.0229452054795,59.8914772727273,33.4,51
NLD,Rutte V,50.6666666666667,6.20784736842105,6.45616710526316,4.58411710526316,1.85022238095238,1.19817283653846,1.74449090909091,71.0655238095238,61.5249038461539,72.2583739837399,33.2,57
PRT,Costa II,46.9565217391304,4.0492,4.2716,3.5411,0.560555405405405,1.42619440298507,2.37081615384615,72.8380405405405,61.9598507462687,75.1912307692308,32.5,126
ROU,Orban II,20.9726443768997,6.0543,7.245,3.5474,0.510109722222222,2.07057563559322,2.63295310077519,81.6240277777778,56.6453389830509,62.4010784313726,40.3,37
SVK,Matovic,63.3333333333333,7.2821052631579,6.38947368421053,6.37368421052632,0.003203125,0.0561361111111111,0.503823831775701,72.235375,48.0567592592593,68.0549444444445,49.1,51
SVN,Jansa III,52.2222222222222,5.95058510638298,4.97395319148936,6.14936382978724,0.352579,3.13324838709677,2.52441619047619,64.8916,67.9767281105991,57.0972448979592,42.3,74
ESP,Sanchez III,44.2857142857143,3.18725161290323,3.42049032258065,3.03089032258064,0.318483516483516,0.981353296703297,1.76741590909091,77.1131868131868,62.5971978021978,67.9728795811518,23.9,98
SWE,Lofven III,33.2378223495702,3.43562413793104,3.54082413793104,4.17574827586207,1.31061198830409,0.960685714285714,1.38045939597315,59.0737426900585,61.2436363636364,65.7124113475177,23.4,41
GBR,Johnson II,56.1538461538462,7.4261,7.5725,7.1901,1.14956339285714,0.672976136363636,1.54188404907975,70.5408928571429,67.3702272727273,76.6714110429448,22.8,88
